:START_ID,score,associationType,:END_ID,:TYPE
ND1,0.413089586204917,Biomarker; GeneticVariation,umls:C0162671,AFFECTS
GNAS,0.413089586204917,Biomarker; GeneticVariation,umls:C0346302,AFFECTS
KIF1B,0.413089586204917,Biomarker; GeneticVariation,umls:C0031511,AFFECTS
ND5,0.412884076659535,Biomarker; GeneticVariation,umls:C0917796,AFFECTS
MYH7,0.412835045700937,Biomarker; GeneticVariation,umls:C0221054,AFFECTS
EIF2B2,0.412835045700937,AlteredExpression; Biomarker; GeneticVariation,umls:C1858991,AFFECTS
EIF2B1,0.412835045700937,AlteredExpression; Biomarker; GeneticVariation,umls:C1858991,AFFECTS
IL36RN,0.412835045700937,Biomarker; GeneticVariation,umls:C0343055,AFFECTS
EIF2B4,0.412835045700937,AlteredExpression; Biomarker; GeneticVariation,umls:C1858991,AFFECTS
FGA,0.412835045700937,Biomarker; GeneticVariation,umls:C0019250,AFFECTS
IGF1,0.412835045700937,Biomarker; GeneticVariation,umls:C1837475,AFFECTS
MAP2K2,0.412835045700937,Biomarker; GeneticVariation,umls:C1275081,AFFECTS
MUC5B,0.412835045700937,Biomarker; GeneticVariation,umls:C1800706,AFFECTS
SPG20,0.412835045700937,Biomarker; GeneticVariation,umls:C0393559,AFFECTS
TNFRSF11A,0.412835045700937,Biomarker; GeneticVariation,umls:C0432292,AFFECTS
USB1,0.412835045700937,Biomarker; GeneticVariation,umls:C1858723,AFFECTS
CHEK2,0.412806081634823,Biomarker; GeneticVariation,umls:C0029463,AFFECTS
MYL2,0.412806081634823,Biomarker; GeneticVariation,umls:C0949658,AFFECTS
CNGB1,0.412600572089441,Biomarker; GeneticVariation,umls:C0035334,AFFECTS
GCLC,0.412600572089441,Biomarker; GeneticVariation,umls:C0027051,AFFECTS
PITX2,0.412600572089441,Biomarker; GeneticVariation,umls:C0344559,AFFECTS
DLD,0.412551541130843,Biomarker; GeneticVariation,umls:C0268193,AFFECTS
FOXF1,0.412551541130843,Biomarker; GeneticVariation,umls:C0031190,AFFECTS
ERCC8,0.412551541130843,Biomarker; GeneticVariation,umls:C0751039,AFFECTS
SMN1,0.412551541130843,Biomarker; GeneticVariation,umls:C0152109,AFFECTS
LIPH,0.412551541130843,Biomarker; GeneticVariation,umls:C1836672,AFFECTS
CAT,0.412551541130843,Biomarker; GeneticVariation,umls:C0268419,AFFECTS
GCK,0.412551541130843,Biomarker; GeneticVariation,umls:C1833104,AFFECTS
H6PD,0.412551541130843,Biomarker; GeneticVariation,umls:C1291245,AFFECTS
LOR,0.412551541130843,Biomarker; GeneticVariation,umls:C1858805,AFFECTS
SAG,0.412551541130843,Biomarker; GeneticVariation,umls:C1306122,AFFECTS
MIAT,0.412522577064729,Biomarker; GeneticVariation,umls:C0027051,AFFECTS
MUTYH,0.412522577064729,Biomarker; GeneticVariation,umls:C0038356,AFFECTS
BRAF,0.412317067519348,GeneticVariation,umls:C0024305,AFFECTS
RAD54L,0.412317067519348,Biomarker; GeneticVariation,umls:C0024305,AFFECTS
IFITM5,0.412268036560749,Biomarker; GeneticVariation,umls:C1970414,AFFECTS
KRT17,0.412268036560749,Biomarker; GeneticVariation,umls:C1721007,AFFECTS
BRAF,0.412268036560749,Biomarker; GeneticVariation,umls:C0152013,AFFECTS
ITGA6,0.412268036560749,Biomarker; GeneticVariation,umls:C1856934,AFFECTS
LEMD3,0.412268036560749,Biomarker; GeneticVariation,umls:C0265514,AFFECTS
NOTCH2,0.412268036560749,Biomarker; GeneticVariation,umls:C0917715,AFFECTS
PER2,0.412268036560749,Biomarker; GeneticVariation,umls:C1858496,AFFECTS
PKP1,0.412268036560749,Biomarker; GeneticVariation,umls:C1858302,AFFECTS
RAB3GAP1,0.412268036560749,Biomarker; GeneticVariation,umls:C1838625,AFFECTS
SMS,0.412268036560749,Biomarker; GeneticVariation,umls:C0796160,AFFECTS
TREX1,0.412268036560749,Biomarker; GeneticVariation,umls:C0024145,AFFECTS
CST3,0.411984531990656,Biomarker; GeneticVariation,umls:C1527338,AFFECTS
GLB1,0.411984531990656,Biomarker; GeneticVariation,umls:C0268271,AFFECTS
MTHFR,0.411984531990656,Biomarker; GeneticVariation,umls:C1856058,AFFECTS
PRRT2,0.411984531990656,Biomarker; GeneticVariation,umls:C1865926,AFFECTS
DOCK8,0.411984531990656,Biomarker; GeneticVariation,umls:C1968689,AFFECTS
B3GALTL,0.411984531990656,Biomarker; GeneticVariation,umls:C0796012,AFFECTS
MUC1,0.411984531990656,Biomarker; GeneticVariation,umls:C1868139,AFFECTS
OPA3,0.411984531990656,Biomarker; GeneticVariation,umls:C0574084,AFFECTS
SCN4A,0.411984531990656,Biomarker; GeneticVariation,umls:C3714580,AFFECTS
SNCB,0.411984531990656,Biomarker; GeneticVariation,umls:C0752347,AFFECTS
SOS1,0.411984531990656,Biomarker; GeneticVariation,umls:C0399440,AFFECTS
ZNF469,0.411984531990656,Biomarker; GeneticVariation,umls:C0268344,AFFECTS
FLNB,0.411701027420562,Biomarker; GeneticVariation,umls:C1835564,AFFECTS
GNS,0.411701027420562,Biomarker; GeneticVariation,umls:C0086650,AFFECTS
HSD3B2,0.411701027420562,GeneticVariation,umls:C0342471,AFFECTS
MXI1,0.411701027420562,Biomarker; GeneticVariation,umls:C0376358,AFFECTS
SMAD3,0.411701027420562,Biomarker; GeneticVariation,umls:C3151087,AFFECTS
CYP24A1,0.411701027420562,Biomarker; GeneticVariation,umls:C0268080,AFFECTS
HGSNAT,0.411701027420562,Biomarker; GeneticVariation,umls:C0086649,AFFECTS
CDAN1,0.411701027420562,Biomarker; GeneticVariation,umls:C0271933,AFFECTS
TRPV3,0.411701027420562,Biomarker; GeneticVariation,umls:C2609071,AFFECTS
L2HGDH,0.411701027420562,Biomarker; GeneticVariation,umls:C1855995,AFFECTS
DCAF17,0.411701027420562,Biomarker; GeneticVariation,umls:C0342286,AFFECTS
DRD2,0.411701027420562,Biomarker; GeneticVariation,umls:C1834570,AFFECTS
DSP,0.411701027420562,Biomarker; GeneticVariation,umls:C1854063,AFFECTS
IFITM3,0.411701027420562,Biomarker; GeneticVariation,umls:C0021400,AFFECTS
KRT1,0.411701027420562,Biomarker; GeneticVariation,umls:C1721006,AFFECTS
MLYCD,0.411701027420562,Biomarker; GeneticVariation,umls:C0342793,AFFECTS
NTRK1,0.411701027420562,Biomarker; GeneticVariation,umls:C1833921,AFFECTS
RBM8A,0.411701027420562,Biomarker; GeneticVariation,umls:C0175703,AFFECTS
RSPO4,0.411701027420562,Biomarker; GeneticVariation,umls:C0265998,AFFECTS
TERC,0.411701027420562,Biomarker; GeneticVariation,umls:C1851970,AFFECTS
TNFRSF11B,0.411701027420562,Biomarker; GeneticVariation,umls:C0268414,AFFECTS
VLDLR,0.411701027420562,Biomarker; GeneticVariation,umls:C0394006,AFFECTS
XIAP,0.411701027420562,Biomarker; GeneticVariation,umls:C1845076,AFFECTS
KRAS,0.411462060555264,AlteredExpression; Biomarker; GeneticVariation; PostTranslationalModification,umls:C0009404,AFFECTS
KRT5,0.411417522850468,Biomarker; GeneticVariation,umls:C0080333,AFFECTS
CLCN1,0.411417522850468,Biomarker; GeneticVariation,umls:C0751360,AFFECTS
CDKN1C,0.411417522850468,Biomarker; GeneticVariation,umls:C1846009,AFFECTS
DHODH,0.411417522850468,Biomarker; GeneticVariation,umls:C0265257,AFFECTS
PIEZO1,0.411417522850468,Biomarker; GeneticVariation,umls:C0272051,AFFECTS
HTRA1,0.411417522850468,Biomarker; GeneticVariation,umls:C1838577,AFFECTS
ALS2,0.411417522850468,Biomarker; GeneticVariation,umls:C1853396,AFFECTS
BBS12,0.411417522850468,Biomarker; GeneticVariation,umls:C0752166,AFFECTS
CEL,0.411417522850468,Biomarker; GeneticVariation,umls:C1853297,AFFECTS
COL2A1,0.411417522850468,Biomarker; GeneticVariation,umls:C0796173,AFFECTS
FOXI1,0.411417522850468,Biomarker; GeneticVariation,umls:C1863752,AFFECTS
HPSE2,0.411417522850468,Biomarker; GeneticVariation,umls:C0403555,AFFECTS
KISS1R,0.411417522850468,Biomarker; GeneticVariation,umls:C0342543,AFFECTS
NF2,0.411417522850468,Biomarker; GeneticVariation,umls:C1335929,AFFECTS
PRG4,0.411417522850468,Biomarker; GeneticVariation,umls:C1859690,AFFECTS
RECQL4,0.411417522850468,Biomarker; GeneticVariation,umls:C1849453,AFFECTS
SCNN1G,0.411417522850468,Biomarker; GeneticVariation,umls:C0221043,AFFECTS
TBP,0.411417522850468,Biomarker; GeneticVariation,umls:C1846707,AFFECTS
INPPL1,0.411134018280375,Biomarker; GeneticVariation,umls:C0432219,AFFECTS
SCO1,0.411134018280375,Biomarker; GeneticVariation,umls:C0268237,AFFECTS
CYTB,0.411134018280375,Biomarker; GeneticVariation,umls:C0917796,AFFECTS
COX2,0.411134018280375,Biomarker; GeneticVariation,umls:C0268237,AFFECTS
ND5,0.411134018280375,Biomarker; GeneticVariation,umls:C0162671,AFFECTS
TPM3,0.411134018280375,Biomarker; GeneticVariation,umls:C0546264,AFFECTS
GJB1,0.411134018280375,Biomarker; GeneticVariation,umls:C0011195,AFFECTS
CLCN5,0.411134018280375,Biomarker; GeneticVariation,umls:C1845168,AFFECTS
EIF2B5,0.411134018280375,Biomarker; GeneticVariation,umls:C1858991,AFFECTS
GALE,0.411134018280375,Biomarker; GeneticVariation,umls:C0751161,AFFECTS
SMN1,0.411134018280375,Biomarker; GeneticVariation,umls:C0393538,AFFECTS
TTC37,0.411134018280375,Biomarker; GeneticVariation,umls:C1857276,AFFECTS
ATOH7,0.411134018280375,Biomarker; GeneticVariation,umls:C1857299,AFFECTS
FAM20A,0.411134018280375,Biomarker; GeneticVariation,umls:C2931783,AFFECTS
DCLRE1C,0.411134018280375,Biomarker; GeneticVariation,umls:C1801959,AFFECTS
APC,0.411134018280375,Biomarker; GeneticVariation,umls:C1851124,AFFECTS
ASXL1,0.411134018280375,Biomarker; GeneticVariation,umls:C0796232,AFFECTS
ATXN10,0.411134018280375,Biomarker; GeneticVariation,umls:C1963674,AFFECTS
ATXN8OS,0.411134018280375,Biomarker; GeneticVariation,umls:C1837454,AFFECTS
CFH,0.411134018280375,Biomarker; GeneticVariation,umls:C0730295,AFFECTS
CFTR,0.411134018280375,Biomarker; GeneticVariation,umls:C0238339,AFFECTS
CLDN1,0.411134018280375,Biomarker; GeneticVariation,umls:C1843355,AFFECTS
EFEMP2,0.411134018280375,Biomarker; GeneticVariation,umls:C0268351,AFFECTS
FOXE3,0.411134018280375,Biomarker; GeneticVariation,umls:C1853230,AFFECTS
GORAB,0.411134018280375,Biomarker; GeneticVariation,umls:C0432255,AFFECTS
PPP2R2B,0.411134018280375,Biomarker; GeneticVariation,umls:C1858501,AFFECTS
RARS2,0.411134018280375,Biomarker; GeneticVariation,umls:C1969084,AFFECTS
SDHB,0.411134018280375,Biomarker; GeneticVariation,umls:C1847319,AFFECTS
SDHD,0.411134018280375,Biomarker; GeneticVariation,umls:C1847319,AFFECTS
SLC9A6,0.411134018280375,Biomarker; GeneticVariation,umls:C2678194,AFFECTS
SNAI2,0.411134018280375,Biomarker; GeneticVariation,umls:C0080024,AFFECTS
SPG21,0.411134018280375,Biomarker; GeneticVariation,umls:C1855346,AFFECTS
TERT,0.411134018280375,Biomarker; GeneticVariation,umls:C1851970,AFFECTS
COX1,0.410850513710281,Biomarker; GeneticVariation,umls:C0268237,AFFECTS
NGF,0.410850513710281,Biomarker; GeneticVariation,umls:C0020075,AFFECTS
KRT14,0.410850513710281,Biomarker; GeneticVariation,umls:C0079299,AFFECTS
APOC2,0.410850513710281,Biomarker; GeneticVariation,umls:C1720779,AFFECTS
C9,0.410850513710281,Biomarker; GeneticVariation,umls:C3151189,AFFECTS
FH,0.410850513710281,Biomarker; GeneticVariation,umls:C0342770,AFFECTS
GNAI3,0.410850513710281,Biomarker; GeneticVariation,umls:C1865295,AFFECTS
EGR2,0.410850513710281,Biomarker; GeneticVariation,umls:C0011195,AFFECTS
ATP2A2,0.410850513710281,Biomarker; GeneticVariation,umls:C0265971,AFFECTS
GATA2,0.410850513710281,Biomarker; GeneticVariation,umls:C3279664,AFFECTS
FBN1,0.410850513710281,Biomarker; GeneticVariation,umls:C0265287,AFFECTS
WNT5A,0.410850513710281,Biomarker; GeneticVariation,umls:C0265205,AFFECTS
HSD17B4,0.410850513710281,Biomarker; GeneticVariation,umls:C0685838,AFFECTS
STIM1,0.410850513710281,Biomarker; GeneticVariation,umls:C0410207,AFFECTS
SMC1A,0.410850513710281,Biomarker; GeneticVariation,umls:C1802395,AFFECTS
EFTUD2,0.410850513710281,Biomarker; GeneticVariation,umls:C1864652,AFFECTS
EZH2,0.410850513710281,Biomarker; GeneticVariation,umls:C0265210,AFFECTS
D2HGDH,0.410850513710281,Biomarker; GeneticVariation,umls:C3152055,AFFECTS
ACE,0.410850513710281,Biomarker; GeneticVariation,umls:C0266313,AFFECTS
AIP,0.410850513710281,Biomarker; GeneticVariation,umls:C0346302,AFFECTS
ALS2,0.410850513710281,Biomarker; GeneticVariation,umls:C1859807,AFFECTS
ANO6,0.410850513710281,Biomarker; GeneticVariation,umls:C0796149,AFFECTS
APC,0.410850513710281,Biomarker; GeneticVariation,umls:C0038356,AFFECTS
ATP1A2,0.410850513710281,Biomarker; GeneticVariation,umls:C0338488,AFFECTS
ATP6V0A2,0.410850513710281,Biomarker; GeneticVariation,umls:C0406587,AFFECTS
CYP1B1,0.410850513710281,Biomarker; GeneticVariation,umls:C0344559,AFFECTS
DSP,0.410850513710281,Biomarker; GeneticVariation,umls:C1864826,AFFECTS
EFHC1,0.410850513710281,Biomarker; GeneticVariation,umls:C0014553,AFFECTS
EIF2B2,0.410850513710281,Biomarker; GeneticVariation,umls:C1847967,AFFECTS
EIF2B4,0.410850513710281,Biomarker; GeneticVariation,umls:C1847967,AFFECTS
FBN1,0.410850513710281,Biomarker; GeneticVariation,umls:C1858556,AFFECTS
FGF10,0.410850513710281,Biomarker; GeneticVariation,umls:C0158667,AFFECTS
HMGCL,0.410850513710281,Biomarker; GeneticVariation,umls:C0268601,AFFECTS
KNG1,0.410850513710281,Biomarker; GeneticVariation,umls:C0272340,AFFECTS
NOTCH1,0.410850513710281,Biomarker; GeneticVariation,umls:C1260873,AFFECTS
PLEC,0.410850513710281,Biomarker; GeneticVariation,umls:C2677349,AFFECTS
PTGIS,0.410850513710281,Biomarker; GeneticVariation,umls:C0085580,AFFECTS
RBM10,0.410850513710281,Biomarker; GeneticVariation,umls:C1839463,AFFECTS
RMRP,0.410850513710281,Biomarker; GeneticVariation,umls:C1846796,AFFECTS
SOX2,0.410850513710281,Biomarker; GeneticVariation,umls:C1859773,AFFECTS
TALDO1,0.410850513710281,Biomarker; GeneticVariation,umls:C1291329,AFFECTS
TBCE,0.410850513710281,Biomarker; GeneticVariation,umls:C1855840,AFFECTS
TERC,0.410850513710281,Biomarker; GeneticVariation,umls:C1800706,AFFECTS
TNFRSF10B,0.410850513710281,Biomarker; GeneticVariation,umls:C1168401,AFFECTS
ZFYVE26,0.410850513710281,Biomarker; GeneticVariation,umls:C1849128,AFFECTS
TNF,0.410738639150418,AlteredExpression; Biomarker; GeneticVariation; Therapeutic,umls:C0010346,AFFECTS
ADIPOQ,0.410708801829034,Biomarker; GeneticVariation,umls:C0011860,AFFECTS
ACE,0.410621909630693,Biomarker; GeneticVariation,umls:C0149721,AFFECTS
OFD1,0.410567009140187,Biomarker; GeneticVariation,umls:C1510460,AFFECTS
COL2A1,0.410567009140187,GeneticVariation,umls:C1836683,AFFECTS
PDGFRB,0.410567009140187,Biomarker; GeneticVariation,umls:C0432284,AFFECTS
FGFR1,0.410567009140187,Biomarker; GeneticVariation,umls:C1563720,AFFECTS
GLB1,0.410567009140187,Biomarker; GeneticVariation,umls:C0268273,AFFECTS
POR,0.410567009140187,Biomarker; GeneticVariation,umls:C1860042,AFFECTS
RYR1,0.410567009140187,Biomarker; GeneticVariation,umls:C0546264,AFFECTS
PIK3R1,0.410567009140187,Biomarker; GeneticVariation,umls:C0878684,AFFECTS
AKT1,0.410567009140187,GeneticVariation,umls:C0085261,AFFECTS
HINT1,0.410567009140187,Biomarker; GeneticVariation,umls:C0242287,AFFECTS
KIF11,0.410567009140187,Biomarker; GeneticVariation,umls:C1835265,AFFECTS
COL4A3,0.410567009140187,Biomarker; GeneticVariation,umls:C1567743,AFFECTS
FOXC1,0.410567009140187,Biomarker; GeneticVariation,umls:C0344559,AFFECTS
UNC119,0.410567009140187,GeneticVariation,umls:C3809768,AFFECTS
KIF22,0.410567009140187,Biomarker; GeneticVariation,umls:C1863732,AFFECTS
ACSF3,0.410567009140187,Biomarker; GeneticVariation,umls:C3280314,AFFECTS
KIF21A,0.410567009140187,Biomarker; GeneticVariation,umls:C1851102,AFFECTS
CHSY1,0.410567009140187,Biomarker; GeneticVariation,umls:C1854466,AFFECTS
PHYKPL,0.410567009140187,GeneticVariation,umls:C3554344,AFFECTS
BMPER,0.410567009140187,Biomarker; GeneticVariation,umls:C1842691,AFFECTS
NEK1,0.410567009140187,Biomarker; GeneticVariation,umls:C0024507,AFFECTS
SLC30A2,0.410567009140187,GeneticVariation,umls:C1842486,AFFECTS
CARD14,0.410567009140187,Biomarker; GeneticVariation,umls:C0032027,AFFECTS
DNAJC5,0.410567009140187,Biomarker; GeneticVariation,umls:C1834207,AFFECTS
CLMP,0.410567009140187,GeneticVariation,umls:C0021847,AFFECTS
CLN6,0.410567009140187,Biomarker; GeneticVariation,umls:C0022797,AFFECTS
CECR1,0.410567009140187,Biomarker; GeneticVariation,umls:C0031036,AFFECTS
AASS,0.410567009140187,Biomarker; GeneticVariation,umls:C0268553,AFFECTS
BCHE,0.410567009140187,Biomarker; GeneticVariation,umls:C1283400,AFFECTS
C2orf71,0.410567009140187,Biomarker; GeneticVariation,umls:C0035334,AFFECTS
C8B,0.410567009140187,Biomarker; GeneticVariation,umls:C3151080,AFFECTS
CASR,0.410567009140187,Biomarker; GeneticVariation,umls:C1832648,AFFECTS
CFC1,0.410567009140187,Biomarker; GeneticVariation,umls:C0013069,AFFECTS
CYP2C9,0.410567009140187,Biomarker; GeneticVariation,umls:C0750384,AFFECTS
EYA1,0.410567009140187,Biomarker; GeneticVariation,umls:C1833691,AFFECTS
FERMT3,0.410567009140187,Biomarker; GeneticVariation,umls:C2748536,AFFECTS
GH1,0.410567009140187,Biomarker; GeneticVariation,umls:C0342573,AFFECTS
GPC6,0.410567009140187,Biomarker; GeneticVariation,umls:C1850318,AFFECTS
GPSM2,0.410567009140187,Biomarker; GeneticVariation,umls:C1858695,AFFECTS
HPD,0.410567009140187,Biomarker; GeneticVariation,umls:C2931042,AFFECTS
IL1RN,0.410567009140187,Biomarker; GeneticVariation,umls:C2748507,AFFECTS
ISCU,0.410567009140187,Biomarker; GeneticVariation,umls:C1850718,AFFECTS
KHK,0.410567009140187,Biomarker; GeneticVariation,umls:C0268160,AFFECTS
KRT14,0.410567009140187,Biomarker; GeneticVariation,umls:C0406778,AFFECTS
KRT14,0.410567009140187,Biomarker; GeneticVariation,umls:C0343111,AFFECTS
KRT5,0.410567009140187,Biomarker; GeneticVariation,umls:C1836284,AFFECTS
LMF1,0.410567009140187,Biomarker; GeneticVariation,umls:C1855498,AFFECTS
MBTPS2,0.410567009140187,Biomarker; GeneticVariation,umls:C1839988,AFFECTS
NF1,0.410567009140187,Biomarker; GeneticVariation,umls:C0553586,AFFECTS
NOG,0.410567009140187,Biomarker; GeneticVariation,umls:C1866656,AFFECTS
PANK2,0.410567009140187,Biomarker; GeneticVariation,umls:C1846582,AFFECTS
PIGM,0.410567009140187,Biomarker; GeneticVariation,umls:C1853205,AFFECTS
PSAP,0.410567009140187,Biomarker; GeneticVariation,umls:C2673635,AFFECTS
PTPN11,0.410567009140187,Biomarker; GeneticVariation,umls:C0410530,AFFECTS
PVRL1,0.410567009140187,Biomarker; GeneticVariation,umls:C2931488,AFFECTS
RAB23,0.410567009140187,Biomarker; GeneticVariation,umls:C1275078,AFFECTS
RGS9BP,0.410567009140187,Biomarker; GeneticVariation,umls:C1842073,AFFECTS
RIN2,0.410567009140187,Biomarker; GeneticVariation,umls:C2751321,AFFECTS
SMAD3,0.410567009140187,Biomarker; GeneticVariation,umls:C2697932,AFFECTS
SNAP29,0.410567009140187,Biomarker; GeneticVariation,umls:C1836033,AFFECTS
TBX15,0.410567009140187,Biomarker; GeneticVariation,umls:C1850040,AFFECTS
TMPRSS15,0.410567009140187,Biomarker; GeneticVariation,umls:C0268416,AFFECTS
TNNT1,0.410567009140187,Biomarker; GeneticVariation,umls:C1854380,AFFECTS
TP63,0.410567009140187,Biomarker; GeneticVariation,umls:C1863753,AFFECTS
TRNL1,0.410567009140187,Biomarker; GeneticVariation,umls:C0162666,AFFECTS
TSHB,0.410567009140187,Biomarker; GeneticVariation,umls:C0271789,AFFECTS
TSPYL1,0.410567009140187,Biomarker; GeneticVariation,umls:C1837371,AFFECTS
VRK1,0.410567009140187,Biomarker; GeneticVariation,umls:C1843504,AFFECTS
APOA5,0.410361233035669,AlteredExpression; Biomarker; GeneticVariation,umls:C0020557,AFFECTS
PIK3CD,0.410283504570094,GeneticVariation,umls:C3714976,AFFECTS
ADAM10,0.410283504570094,Biomarker; GeneticVariation,umls:C0406811,AFFECTS
NOL3,0.410283504570094,GeneticVariation,umls:C3539916,AFFECTS
LRP4,0.410283504570094,Biomarker; GeneticVariation,umls:C3280402,AFFECTS
BANF1,0.410283504570094,Biomarker; GeneticVariation,umls:C3151446,AFFECTS
SBF1,0.410283504570094,GeneticVariation,umls:C3695063,AFFECTS
SIX3,0.410283504570094,Biomarker; GeneticVariation,umls:C0266484,AFFECTS
STAMBP,0.410283504570094,Biomarker; GeneticVariation,umls:C3280296,AFFECTS
CYTB,0.410283504570094,Biomarker; GeneticVariation,umls:C1708371,AFFECTS
DHFR,0.410283504570094,GeneticVariation,umls:C3151205,AFFECTS
HP,0.410283504570094,Biomarker; GeneticVariation,umls:C3279786,AFFECTS
ND4L,0.410283504570094,Biomarker; GeneticVariation,umls:C0917796,AFFECTS
ND6,0.410283504570094,GeneticVariation,umls:C0162671,AFFECTS
CYP11A1,0.410283504570094,Biomarker; GeneticVariation,umls:C3151055,AFFECTS
SERPING1,0.410283504570094,Biomarker; GeneticVariation,umls:C2717906,AFFECTS
EDN1,0.410283504570094,Biomarker; GeneticVariation,umls:C2748545,AFFECTS
COL5A2,0.410283504570094,Biomarker; GeneticVariation,umls:C0268336,AFFECTS
LIPC,0.410283504570094,GeneticVariation,umls:C3151466,AFFECTS
FGFR1,0.410283504570094,Biomarker; GeneticVariation,umls:C1845146,AFFECTS
KRT5,0.410283504570094,GeneticVariation,umls:C0079299,AFFECTS
PRLR,0.410283504570094,Biomarker; GeneticVariation,umls:C0020514,AFFECTS
NAGA,0.410283504570094,Biomarker; GeneticVariation,umls:C1836522,AFFECTS
CYP11B2,0.410283504570094,Biomarker; GeneticVariation,umls:C3463917,AFFECTS
LHCGR,0.410283504570094,Biomarker; GeneticVariation,umls:C0266432,AFFECTS
KAL1,0.410283504570094,Biomarker; GeneticVariation,umls:C1563719,AFFECTS
EIF4A3,0.410283504570094,Biomarker; GeneticVariation,umls:C1849348,AFFECTS
NAA10,0.410283504570094,Biomarker; GeneticVariation,umls:C3275447,AFFECTS
PIK3CA,0.410283504570094,Biomarker; GeneticVariation,umls:C2752042,AFFECTS
TNFRSF4,0.410283504570094,GeneticVariation,umls:C3810053,AFFECTS
PCYT1A,0.410283504570094,Biomarker; GeneticVariation,umls:C1837073,AFFECTS
SLC25A1,0.410283504570094,Biomarker; GeneticVariation,umls:C2746066,AFFECTS
HBG2,0.410283504570094,Biomarker; GeneticVariation,umls:C3151421,AFFECTS
KLF1,0.410283504570094,GeneticVariation,umls:C3150926,AFFECTS
DYNC1H1,0.410283504570094,Biomarker; GeneticVariation,umls:C1834690,AFFECTS
NFIX,0.410283504570094,GeneticVariation,umls:C3553660,AFFECTS
STXBP2,0.410283504570094,Biomarker; GeneticVariation,umls:C2751293,AFFECTS
CTC1,0.410283504570094,Biomarker; GeneticVariation,umls:C2677299,AFFECTS
RHBDF2,0.410283504570094,GeneticVariation,umls:C1835664,AFFECTS
KCTD1,0.410283504570094,Biomarker; GeneticVariation,umls:C1867020,AFFECTS
MYH14,0.410283504570094,Biomarker; GeneticVariation,umls:C3280556,AFFECTS
RFX6,0.410283504570094,Biomarker; GeneticVariation,umls:C2748662,AFFECTS
POC1A,0.410283504570094,GeneticVariation,umls:C3542022,AFFECTS
ADAMTS18,0.410283504570094,GeneticVariation,umls:C3809567,AFFECTS
GATA6,0.410283504570094,Biomarker; GeneticVariation,umls:C1838780,AFFECTS
MED12,0.410283504570094,GeneticVariation,umls:C3698541,AFFECTS
PIGT,0.410283504570094,GeneticVariation,umls:C3809356,AFFECTS
SCARF2,0.410283504570094,Biomarker; GeneticVariation,umls:C1833136,AFFECTS
STAC3,0.410283504570094,Biomarker; GeneticVariation,umls:C1850625,AFFECTS
FAM111A,0.410283504570094,Biomarker; GeneticVariation,umls:C0265291,AFFECTS
FAM111A,0.410283504570094,Biomarker; GeneticVariation,umls:C1865639,AFFECTS
EYA1,0.410283504570094,Biomarker; GeneticVariation,umls:C1865143,AFFECTS
ACO2,0.410283504570094,Biomarker; GeneticVariation,umls:C3281192,AFFECTS
SOST,0.410283504570094,Biomarker; GeneticVariation,umls:C2675746,AFFECTS
CHRDL1,0.410283504570094,Biomarker; GeneticVariation,umls:C0344530,AFFECTS
ANO3,0.410283504570094,GeneticVariation,umls:C3554374,AFFECTS
ADAMTS10,0.410283504570094,Biomarker; GeneticVariation,umls:C1869114,AFFECTS
SEPSECS,0.410283504570094,Biomarker; GeneticVariation,umls:C3151140,AFFECTS
SARS2,0.410283504570094,GeneticVariation,umls:C3151209,AFFECTS
ZC4H2,0.410283504570094,Biomarker; GeneticVariation,umls:C0796200,AFFECTS
EIF2B3,0.410283504570094,GeneticVariation,umls:C1858991,AFFECTS
RNF216,0.410283504570094,Biomarker; GeneticVariation,umls:C1859305,AFFECTS
KLHL3,0.410283504570094,GeneticVariation,umls:C3469605,AFFECTS
TTC7A,0.410283504570094,Biomarker; GeneticVariation,umls:C0220744,AFFECTS
PIGL,0.410283504570094,Biomarker; GeneticVariation,umls:C1848392,AFFECTS
FAN1,0.410283504570094,GeneticVariation,umls:C3553774,AFFECTS
COG6,0.410283504570094,Biomarker; GeneticVariation,umls:C3553230,AFFECTS
MAFB,0.410283504570094,Biomarker; GeneticVariation,umls:C2674705,AFFECTS
ADAMTS17,0.410283504570094,Biomarker; GeneticVariation,umls:C2750787,AFFECTS
AP1S2,0.410283504570094,Biomarker; GeneticVariation,umls:C0796254,AFFECTS
APOA2,0.410283504570094,Biomarker; GeneticVariation,umls:C0020445,AFFECTS
APOA5,0.410283504570094,Biomarker; GeneticVariation,umls:C0020481,AFFECTS
ATRX,0.410283504570094,Biomarker; GeneticVariation,umls:C0585216,AFFECTS
AXIN2,0.410283504570094,Biomarker; GeneticVariation,umls:C1837750,AFFECTS
BCS1L,0.410283504570094,Biomarker; GeneticVariation,umls:C1852372,AFFECTS
C6,0.410283504570094,Biomarker; GeneticVariation,umls:C2676232,AFFECTS
CDKN2A,0.410283504570094,Biomarker; GeneticVariation,umls:C1835042,AFFECTS
CEBPE,0.410283504570094,Biomarker; GeneticVariation,umls:C0398593,AFFECTS
COG8,0.410283504570094,Biomarker; GeneticVariation,umls:C1970021,AFFECTS
COL5A2,0.410283504570094,Biomarker; GeneticVariation,umls:C0268335,AFFECTS
COL6A2,0.410283504570094,Biomarker; GeneticVariation,umls:C1850671,AFFECTS
CPT2,0.410283504570094,Biomarker; GeneticVariation,umls:C1833511,AFFECTS
